id;userid;movieid;rating
524;1096;583;5
525;1096;322;5
526;1096;3082;5
527;1096;807;5
528;1096;510;5
529;1096;11216;5
530;1096;303;5
531;1096;10774;5
532;1096;680;5
533;1096;22;5
534;1096;797;5
535;1096;975;5
536;1096;223;5
537;1096;567;5
538;1096;2062;5
539;1096;111;5
540;1096;857;5
541;5;235;4
542;5;205;2
543;5;1892;4
544;5;7508;4
545;5;218;2
546;5;348;3
547;5;103;4
548;5;807;4
549;5;280;4
550;5;872;4
551;5;1092;4
552;5;12405;4
553;5;993;4
554;5;769;3
555;5;239;4
556;5;1955;4
557;5;11778;4
558;5;1422;4
559;5;24428;4
560;5;887;4
561;5;910;4
562;5;826;4
563;5;8587;4
564;5;45269;4
565;5;247;4
566;5;901;3
567;5;603;4
568;5;968;5
569;5;7508;5
570;5;11697;4
571;5;963;4
572;5;5925;4
573;5;996;3
574;5;37247;4
575;5;935;3
576;5;10098;4
577;5;990;4
578;5;550;4
579;5;49051;4
580;5;497;4
581;5;275;3
582;5;1091;4
583;5;1092;4
584;5;13;4
585;5;769;4
586;5;117;4
587;5;629;4
588;5;770;4
589;5;1124;4
590;5;423;4
591;5;10191;4
592;5;274;4
593;5;745;4
594;5;205;4
595;5;288;4
596;5;694;4
597;5;949;4
598;5;10775;4
599;5;429;4
600;5;7984;4
601;5;1480;4
602;5;578;4
603;5;8392;4
604;5;24;4
605;5;630;4
606;5;77338;4
607;5;3078;4
608;5;595;4
609;5;1585;4
610;5;7345;4
611;5;103663;4
612;5;24238;4
613;5;947;4
614;5;2118;4
615;5;762;4
616;5;3082;4
617;5;70;4
618;5;585;4
619;5;311;4
620;5;11216;4
621;5;680;4
622;5;5924;4
623;5;975;4
624;5;2062;4
625;5;11645;4
626;5;424;4
627;5;111;4
628;5;857;4
629;5;804;4
630;5;500;4
631;559;13475;0
632;559;389;3
633;559;205;1
634;559;20453;4
635;559;453;0
636;559;218;2
637;559;599;4
638;559;702;5
639;559;348;5
640;559;280;4
641;559;872;3
642;559;279;2
643;559;1092;2
644;559;3078;4
645;559;12405;1
646;559;769;5
647;559;583;2
648;559;107;2
649;559;703;1
650;559;212;2
651;559;289;0
652;559;11778;5
653;559;975;5
654;559;272;2
655;559;238;4
656;559;284;2
657;559;947;2
658;559;44214;2
659;559;1480;2
660;559;289;2
661;559;598;2
662;559;562;2
663;559;45269;4
664;559;982;5
665;559;914;2
666;559;596;3
667;559;990;4
668;559;275;2
669;559;497;4
670;559;783;2
671;559;1092;4
672;559;13;2
673;559;629;1
674;559;489;2
675;559;770;2
676;559;3090;2
677;559;37165;2
678;559;1124;1
679;559;2493;4
680;559;745;2
681;559;288;2
682;559;949;2
683;559;694;2
684;559;3082;2
685;559;10775;2
686;559;16869;2
687;559;429;2
688;559;46738;2
689;559;27205;2
690;559;578;2
691;559;8392;2
692;559;329;2
693;559;947;2
694;559;77338;2
695;559;576;5
696;559;7345;1
697;559;103663;2
698;559;77;2
699;559;947;2
700;559;11216;2
701;559;583;3
702;559;762;3
703;559;3083;3
704;559;3082;1
705;559;70;3
706;559;585;2
707;559;807;5
708;559;654;1
709;559;792;3
710;559;797;2
711;559;5924;5
712;559;223;5
713;559;2062;1
714;559;11645;4
715;559;380;3
716;559;1578;5
717;559;111;3
718;559;1580;5
719;559;1366;5
720;559;500;3
721;12;13475;2
722;12;235;2
723;12;20453;2
724;12;1892;2
725;12;453;5
726;12;7508;2
727;12;702;4
728;12;103;2
729;12;279;1
730;12;583;5
731;12;1092;2
732;12;993;2
733;12;769;1
734;12;239;2
735;12;212;2
736;12;3175;1
737;12;1955;2
738;12;975;5
739;12;238;2
740;12;665;3
741;12;24428;2
742;12;887;2
743;12;524;5
744;12;115;2
745;12;562;4
746;12;968;5
747;12;68718;4
748;12;1417;5
749;12;914;2
750;12;935;4
751;12;10098;2
752;12;275;5
753;12;497;2
754;12;600;4
755;12;1092;2
756;12;13;2
757;12;9277;2
758;12;12;4
759;12;218;2
760;12;769;2
761;12;117;2
762;12;489;2
763;12;1124;2
764;12;274;2
765;12;205;2
766;12;745;2
767;12;694;2
768;12;3082;2
769;12;429;2
770;12;7984;2
771;12;110;2
772;12;46738;2
773;12;27205;2
774;12;8392;2
775;12;329;2
776;12;627;2
777;12;947;2
778;12;630;2
779;12;77338;2
780;12;3078;2
781;12;595;2
782;12;7345;2
783;12;103663;2
784;12;832;2
785;12;19;2
786;12;77;2
787;12;11216;2
788;12;322;2
789;12;3083;2
790;12;3082;2
791;12;70;2
792;12;585;2
793;12;807;2
794;12;11216;2
795;12;213;2
796;12;303;2
797;12;539;2
798;12;792;2
799;12;5924;2
800;12;641;2
801;12;223;2
802;12;567;2
803;12;2062;2
804;12;380;2
805;12;85;2
806;12;1578;2
807;12;424;2
808;12;857;2
809;12;805;2
810;12;1580;2
811;1659;235;2
812;1659;389;5
813;1659;7508;3
814;1659;599;3
815;1659;702;3
816;1659;280;4
817;1659;103;3
818;1659;11324;5
819;1659;280;5
820;1659;279;3
821;1659;12405;3
822;1659;993;4
823;1659;769;3
824;1659;583;4
825;1659;107;3
826;1659;703;3
827;1659;212;5
828;1659;1955;4
829;1659;289;4
830;1659;3175;3
831;1659;975;4
832;1659;10020;3
833;1659;238;4
834;1659;665;5
835;1659;578;2
836;1659;947;3
837;1659;74643;4
838;1659;24428;3
839;1659;887;3
840;1659;524;4
841;1659;910;5
842;1659;562;3
843;1659;7508;4
844;1659;982;3
845;1659;17654;5
846;1659;68718;4
847;1659;5925;3
848;1659;914;4
849;1659;596;2
850;1659;37247;3
851;1659;309;4
852;1659;497;3
853;1659;275;3
854;1659;783;3
855;1659;629;3
856;1659;37165;4
857;1659;12445;1
858;1659;2493;3
859;1659;3112;4
860;1659;423;2
861;1659;274;3
862;1659;278;4
863;1659;694;3
864;1659;3082;5
865;1659;10775;5
866;1659;429;3
867;1659;7984;4
868;1659;46738;3
869;1659;27205;2
870;1659;578;3
871;1659;8392;3
872;1659;947;3
873;1659;24;3
874;1659;77338;3
875;1659;3078;4
876;1659;595;2
877;1659;1585;4
878;1659;7345;3
879;1659;103663;3
880;1659;24238;4
881;1659;19;3
882;1659;77;4
883;1659;11216;3
884;1659;762;3
885;1659;585;4
886;1659;807;4
887;1659;311;3
888;1659;11216;3
889;1659;654;4
890;1659;10774;4
891;1659;539;4
892;1659;680;3
893;1659;797;3
894;1659;567;4
895;1659;2062;3
896;1659;380;3
897;1659;1578;3
898;1659;424;3
899;1659;1366;3
900;1659;500;3
901;566;13475;3
902;566;205;5
903;566;20453;2
904;566;218;3
905;566;280;3
906;566;103;5
907;566;705;3
908;566;11324;5
909;566;280;5
910;566;872;4
911;566;3078;2
912;566;993;2
913;566;703;3
914;566;1955;5
915;566;272;5
916;566;961;3
917;566;238;1
918;566;962;3
919;566;947;5
920;566;44214;5
921;566;642;5
922;566;115;2
923;566;910;5
924;566;2503;4
925;566;829;2
926;566;8587;5
927;566;15;3
928;566;45269;3
929;566;982;5
930;566;17654;5
931;566;963;5
932;566;68718;2
933;566;5925;3
934;566;914;5
935;566;996;2
936;566;990;4
937;566;49051;3
938;566;783;3
939;566;600;2
940;566;13;5
941;566;12;5
942;566;3090;3
943;566;770;3
944;566;37165;3
945;566;11787;5
946;566;2493;5
947;566;423;5
948;566;205;5
949;566;278;4
950;566;3082;3
951;566;10775;4
952;566;110;5
953;566;46738;5
954;566;329;5
955;566;947;4
956;566;862;5
957;566;630;5
958;566;77338;5
959;566;576;2
960;566;3078;4
961;566;1585;5
962;566;7345;5
963;566;24238;3
964;566;832;1
965;566;19;3
966;566;77;5
967;566;947;5
968;566;87827;5
969;566;322;4
970;566;3083;5
971;566;3082;5
972;566;70;3
973;566;585;5
974;566;11216;5
975;566;654;3
976;566;213;3
977;566;303;5
978;566;6977;5
979;566;539;5
980;566;22;3
981;566;792;5
982;566;797;5
983;566;5924;5
984;566;11645;4
985;566;85;5
986;566;1578;5
987;566;424;3
988;566;1580;5
989;566;804;2
990;566;1366;3
991;19;13475;3
992;19;235;5
993;19;389;5
994;19;845;5
995;19;205;2
996;19;702;2
997;19;348;5
998;19;103;5
999;19;11324;0
1000;19;583;5
1001;19;12405;3
1002;19;583;5
1003;19;239;4
1004;19;703;5
1005;19;107;5
1006;19;1955;5
1007;19;289;3
1008;19;1422;1
1009;19;1955;5
1010;19;975;5
1011;19;10020;3
1012;19;9552;2
1013;19;961;5
1014;19;238;3
1015;19;665;3
1016;19;578;5
1017;19;284;1
1018;19;44214;4
1019;19;74643;2
1020;19;2503;5
1021;19;826;2
1022;19;121;1
1023;19;15;3
1024;19;247;5
1025;19;17654;4
1026;19;68718;5
1027;19;38;5
1028;19;914;5
1029;19;550;5
1030;19;990;3
1031;19;5961;3
1032;19;497;5
1033;19;13;2
1034;19;629;5
1035;19;3090;5
1036;19;37165;5
1037;19;11787;2
1038;19;12445;5
1039;19;2493;5
1040;19;3112;1
1041;19;13223;5
1042;19;274;2
1043;19;745;3
1044;19;278;5
1045;19;288;5
1046;19;429;2
1047;19;7984;5
1048;19;110;4
1049;19;1480;5
1050;19;8392;4
1051;19;627;5
1052;19;77338;5
1053;19;630;5
1054;19;3078;5
1055;19;576;4
1056;19;595;5
1057;19;7345;3
1058;19;24238;3
1059;19;19;3
1060;19;77;5
1061;19;947;5
1062;19;583;5
1063;19;322;3
1064;19;3083;5
1065;19;585;5
1066;19;807;3
1067;19;303;3
1068;19;10774;4
1069;19;6977;3
1070;19;792;5
1071;19;391;2
1072;19;5924;3
1073;19;975;5
1074;19;223;4
1075;19;2062;5
1076;19;380;4
1077;19;1578;5
1078;19;1580;3
1079;19;804;4
1080;19;500;5
1081;564;235;3
1082;564;205;3
1083;564;20453;4
1084;564;453;1
1085;564;599;4
1086;564;702;3
1087;564;348;4
1088;564;280;3
1089;564;872;4
1090;564;1092;3
1091;564;583;1
1092;564;3078;5
1093;564;12405;0
1094;564;993;4
1095;564;107;1
1096;564;212;0
1097;564;975;2
1098;564;9552;2
1099;564;665;0
1100;564;578;0
1101;564;947;0
1102;564;284;3
1103;564;44214;5
1104;564;1480;0
1105;564;910;5
1106;564;2503;4
1107;564;903;2
1108;564;121;5
1109;564;562;2
1110;564;15;0
1111;564;901;1
1112;564;247;0
1113;564;968;3
1114;564;7508;4
1115;564;11697;4
1116;564;17654;4
1117;564;68718;3
1118;564;963;3
1119;564;1417;3
1120;564;550;2
1121;564;990;2
1122;564;275;1
1123;564;783;5
1124;564;9277;5
1125;564;13;5
1126;564;218;3
1127;564;12;5
1128;564;117;4
1129;564;629;3
1130;564;3090;4
1131;564;213;5
1132;564;2493;2
1133;564;12445;5
1134;564;13475;4
1135;564;423;0
1136;564;10191;4
1137;564;288;3
1138;564;278;4
1139;564;949;2
1140;564;694;0
1141;564;110;2
1142;564;46738;5
1143;564;578;1
1144;564;329;3
1145;564;627;4
1146;564;24;2
1147;564;862;2
1148;564;630;2
1149;564;576;4
1150;564;1585;4
1151;564;7345;3
1152;564;77;4
1153;564;11216;5
1154;564;87827;0
1155;564;583;1
1156;564;762;2
1157;564;322;4
1158;564;3082;5
1159;564;70;0
1160;564;585;1
1161;564;6977;2
1162;564;22;5
1163;564;792;5
1164;564;797;2
1165;564;641;5
1166;564;111;3
1167;564;857;1
1168;564;1580;1
1169;564;804;4
1170;564;500;2
1171;1662;235;4
1172;1662;20453;4
1173;1662;218;4
1174;1662;348;3
1175;1662;103;5
1176;1662;705;4
1177;1662;280;3
1178;1662;279;1
1179;1662;872;3
1180;1662;583;2
1181;1662;3078;3
1182;1662;769;2
1183;1662;239;2
1184;1662;703;4
1185;1662;1955;1
1186;1662;11778;3
1187;1662;289;4
1188;1662;1422;2
1189;1662;975;2
1190;1662;1955;4
1191;1662;238;2
1192;1662;578;1
1193;1662;44214;1
1194;1662;74643;3
1195;1662;642;2
1196;1662;1480;1
1197;1662;115;3
1198;1662;524;3
1199;1662;598;4
1200;1662;826;1
1201;1662;121;5
1202;1662;562;3
1203;1662;15;1
1204;1662;45269;2
1205;1662;603;4
1206;1662;982;4
1207;1662;7508;4
1208;1662;11697;5
1209;1662;68718;3
1210;1662;5925;3
1211;1662;1417;2
1212;1662;38;1
1213;1662;37247;1
1214;1662;935;4
1215;1662;49051;3
1216;1662;5961;2
1217;1662;497;3
1218;1662;1091;3
1219;1662;1092;4
1220;1662;9277;4
1221;1662;12;4
1222;1662;629;4
1223;1662;489;3
1224;1662;37165;3
1225;1662;1124;4
1226;1662;3112;4
1227;1662;423;3
1228;1662;10191;3
1229;1662;278;3
1230;1662;288;4
1231;1662;694;3
1232;1662;3082;4
1233;1662;1480;4
1234;1662;8392;1
1235;1662;24;2
1236;1662;77338;4
1237;1662;630;3
1238;1662;103663;2
1239;1662;832;4
1240;1662;19;3
1241;1662;2118;5
1242;1662;583;5
1243;1662;762;5
1244;1662;3083;1
1245;1662;3082;2
1246;1662;807;3
1247;1662;510;2
1248;1662;11216;5
1249;1662;654;2
1250;1662;539;1
1251;1662;22;3
1252;1662;792;4
1253;1662;391;2
1254;1662;975;4
1255;1662;2062;5
1256;1662;1578;3
1257;1662;111;3
1258;1662;1580;4
1259;1662;804;3
1260;1662;1366;5
1261;1112;389;4
1262;1112;1892;4
1263;1112;7508;1
1264;1112;453;1
1265;1112;280;3
1266;1112;702;1
1267;1112;103;2
1268;1112;705;1
1269;1112;279;3
1270;1112;1092;1
1271;1112;769;2
1272;1112;993;2
1273;1112;239;2
1274;1112;107;1
1275;1112;703;2
1276;1112;1955;1
1277;1112;289;3
1278;1112;11778;4
1279;1112;3175;1
1280;1112;9552;2
1281;1112;10020;1
1282;1112;284;1
1283;1112;642;2
1284;1112;24428;1
1285;1112;1480;4
1286;1112;887;1
1287;1112;524;1
1288;1112;115;3
1289;1112;289;3
1290;1112;598;1
1291;1112;826;1
1292;1112;121;5
1293;1112;8587;1
1294;1112;603;1
1295;1112;7508;2
1296;1112;982;5
1297;1112;11697;2
1298;1112;17654;2
1299;1112;996;3
1300;1112;10098;2
1301;1112;783;3
1302;1112;600;3
1303;1112;13;2
1304;1112;218;3
1305;1112;12;2
1306;1112;117;2
1307;1112;769;3
1308;1112;770;1
1309;1112;37165;3
1310;1112;3112;2
1311;1112;13475;2
1312;1112;423;3
1313;1112;10191;1
1314;1112;745;1
1315;1112;949;2
1316;1112;3082;3
1317;1112;429;1
1318;1112;110;1
1319;1112;27205;3
1320;1112;1480;2
1321;1112;329;3
1322;1112;8392;1
1323;1112;627;2
1324;1112;77338;2
1325;1112;3078;5
1326;1112;576;1
1327;1112;103663;1
1328;1112;24238;2
1329;1112;19;1
1330;1112;77;3
1331;1112;947;1
1332;1112;11216;3
1333;1112;322;2
1334;1112;3082;4
1335;1112;70;1
1336;1112;311;2
1337;1112;213;2
1338;1112;303;2
1339;1112;10774;2
1340;1112;6977;2
1341;1112;22;2
1342;1112;391;1
1343;1112;5924;3
1344;1112;975;2
1345;1112;223;1
1346;1112;567;1
1347;1112;2062;3
1348;1112;11645;1
1349;1112;805;3
1350;1112;500;2
1351;575;1892;2
1352;575;7508;1
1353;575;599;0
1354;575;280;3
1355;575;348;4
1356;575;11324;0
1357;575;807;2
1358;575;279;3
1359;575;12405;1
1360;575;769;5
1361;575;993;3
1362;575;583;4
1363;575;239;4
1364;575;703;1
1365;575;212;2
1366;575;11778;3
1367;575;289;3
1368;575;1422;3
1369;575;1955;3
1370;575;9552;3
1371;575;272;2
1372;575;962;3
1373;575;24428;5
1374;575;642;1
1375;575;1480;4
1376;575;887;4
1377;575;524;3
1378;575;910;3
1379;575;598;5
1380;575;829;4
1381;575;121;3
1382;575;903;2
1383;575;562;2
1384;575;45269;3
1385;575;968;1
1386;575;603;3
1387;575;7508;2
1388;575;17654;0
1389;575;11697;3
1390;575;914;3
1391;575;596;3
1392;575;935;4
1393;575;309;1
1394;575;10098;3
1395;575;990;3
1396;575;49051;3
1397;575;497;3
1398;575;1091;3
1399;575;13;2
1400;575;12;1
1401;575;769;3
1402;575;629;3
1403;575;489;3
1404;575;770;4
1405;575;12445;0
1406;575;2493;3
1407;575;423;3
1408;575;205;5
1409;575;745;3
1410;575;278;3
1411;575;3082;1
1412;575;10775;3
1413;575;5915;4
1414;575;429;3
1415;575;110;3
1416;575;1480;3
1417;575;627;3
1418;575;862;3
1419;575;832;4
1420;575;19;2
1421;575;947;3
1422;575;2118;2
1423;575;11216;5
1424;575;322;2
1425;575;70;0
1426;575;311;5
1427;575;510;5
1428;575;654;4
1429;575;10774;1
1430;575;539;2
1431;575;792;1
1432;575;391;2
1433;575;797;1
1434;575;975;3
1435;575;223;1
1436;575;567;2
1437;575;380;5
1438;575;857;5
1439;575;805;5
1440;575;804;4
1441;24;205;5
1442;24;1892;5
1443;24;7508;5
1444;24;599;5
1445;24;218;5
1446;24;280;5
1447;24;702;5
1448;24;348;5
1449;24;103;5
1450;24;11324;5
1451;24;280;5
1452;24;807;5
1453;24;872;5
1454;24;583;5
1455;24;107;5
1456;24;11778;3
1457;24;975;5
1458;24;1955;5
1459;24;10020;5
1460;24;961;5
1461;24;272;5
1462;24;578;5
1463;24;962;3
1464;24;284;5
1465;24;44214;5
1466;24;74643;5
1467;24;24428;5
1468;24;642;5
1469;24;1480;5
1470;24;115;5
1471;24;910;5
1472;24;903;5
1473;24;8587;4
1474;24;45269;5
1475;24;968;5
1476;24;982;0
1477;24;7508;5
1478;24;68718;5
1479;24;963;2
1480;24;5925;1
1481;24;309;5
1482;24;10098;5
1483;24;5961;5
1484;24;497;2
1485;24;1091;0
1486;24;783;5
1487;24;600;5
1488;24;1092;1
1489;24;117;4
1490;24;769;5
1491;24;489;5
1492;24;1124;4
1493;24;11787;5
1494;24;2493;5
1495;24;3112;2
1496;24;13475;5
1497;24;10191;5
1498;24;205;5
1499;24;288;5
1500;24;949;5
1501;24;694;5
1502;24;16869;5
1503;24;5915;5
1504;24;7984;5
1505;24;27205;5
1506;24;1480;3
1507;24;8392;3
1508;24;947;5
1509;24;862;2
1510;24;24;5
1511;24;630;5
1512;24;3078;5
1513;24;7345;4
1514;24;947;5
1515;24;11216;5
1516;24;87827;5
1517;24;583;5
1518;24;762;5
1519;24;322;5
1520;24;3083;5
1521;24;70;5
1522;24;11216;5
1523;24;303;5
1524;24;539;5
1525;24;975;5
1526;24;223;5
1527;24;567;5
1528;24;85;5
1529;24;1578;5
1530;24;500;5
1531;572;13475;3
1532;572;235;1
